id_pista,nombre,ccaa,lat,lng
75,Karting Badajoz,Extremadura,38.88,-6.975
76,Karting Mérida,Extremadura,38.914,-6.342
77,Karting Cáceres,Extremadura,39.4753,-6.3723
78,Karting Plasencia,Extremadura,40.031,-6.095
79,Karting Son Pardo Mallorca,Baleares,39.59,2.64
80,Karting Can Picafort Mallorca,Baleares,39.762,3.155
81,Karting Mahón Menorca,Baleares,39.866716,4.25634
82,Karting Ibiza,Baleares,38.9776,1.3162
83,Karting Indoor Gran Canaria,Canarias,27.997482,-15.389046
84,Racing Kart Maspalomas,Canarias,27.775814,-15.604412
85,Gran Karting Club Bahía Feliz,Canarias,27.786122,-15.506117
86,Karting Indoor Santa Cruz de Tenerife,Canarias,28.4523,-16.2699
87,Karting Adeje Tenerife,Canarias,28.0515,-16.6503
88,Gran Karting Club Lanzarote,Canarias,28.948078,-13.624052
89,Karting Fuerteventura,Canarias,28.5006,-13.9013
90,Karting Torremolinos,Andalucía,36.618,-4.499
91,Karting Linares,Andalucía,38.093,-3.636
92,Karting Elche,Comunidad Valenciana,38.267,-0.701
93,Karting Dénia,Comunidad Valenciana,38.862,0.075
94,Karting Huesca,Aragón,42.143,-0.418
95,Karting Teruel,Aragón,40.348,-1.106
96,Karting Campillos Málaga,Andalucía,36.942,-4.851
97,Karting La Palma,Canarias,28.683,-17.764
